ID,State,Address,user_lat,user_lon,maid_count,maid
1,NSW,"58 Pandora Street, Lightning Ridge NSW 2834, Australia",-29.429453,147.98555,2,dbd1a4ad-317e-44b6-8e5e-3b2bc358a69b|2229a5c8-d2cf-4666-ac88-2bcefaab7db0
2,NSW,"28 Auburn St, Moree NSW 2400, Australia",-29.461911,149.840594,4,fdc82992-be04-4d2f-af81-3d0b92ad89c8|c749260b-a81a-4e2b-a46a-3c52a9070fa1|d749260a-b81b-4f2a-b46b-3d52b9070eb1|6b98ba0a-8eb2-4dd3-a2cd-c5b02956bd97
3,NSW,"White Cliffs NSW 2836, Australia",-30.850378,143.090023,1,5fb4b09a-0f9b-49fe-a999-23db783a5320
4,NSW,"11908 Barrier Hwy, Little Topar NSW 2880, Australia",-31.779069,142.227769,0,
5,NSW,"220 Racecourse Road, Broken Hill NSW 2880, Australia",-31.912747,141.482188,2,8a013c26-a359-4669-bd4a-c1ff6f23b73d|1d1345d8-b56d-4d4c-9424-2205a0d5ecba
6,NSW,"51 Bromide St, Broken Hill, NSW 2880, Australia",-31.959753,141.45989,1,6269015d-ecbf-4a5a-bc1f-2ad86f64cf77
7,NSW,"18 Tramway Terrace, Broken Hill NSW 2880",-31.96039,141.445398,4,7c91103c-6942-4e0c-85ff-cd3afcceec3f|26e648d4-1d73-4e3c-af16-45d489c29b1e|a4aac8e5-eadb-4893-9ca8-313493ca355b|8f56fcf3-0c99-4a9c-8113-a4e403050708
8,NSW,"1 - 7 Ross St, Wilcannia NSW 2836, Australia",-31.55729,143.385675,1,d72d0f13-e898-43c1-adbc-3ec1b95b4f20
9,NSW,"Wilcannia NSW 2836, Australia",-31.559172,143.374578,2,04322be8-e1be-2a91-5d7c-9fb3914b24bc|04322af8-f1af-2b91-5c7d-9ea3914a24ad
10,NSW,"54 Yartla St, Menindee NSW 2879, Australia",-32.395353,142.415032,12,7cf035c6-5f14-4f1d-8e80-02798c0eec61|073cc49b-7583-4a51-adf3-f8cf78cbcca8|75f7cafc-5968-4540-9168-99c49e9cca62|e35759dc-de19-483d-aebd-da714c04661d|e12925ab-ae95-441a-aeca-ad998b08339a|0e61d7b6-82bb-45b1-8961-e977f4848528|df3291bd-ee18-45a4-aa29-adb4fbef055e|9d737d71-380b-4e5f-8b4b-78173643efb5|7e9e39a3-cfd8-2acf-c87e-a4ee8edc221e|321aa518-62fe-4cdb-93e0-33ddcdd9d67f|ce3291ac-ff18-45b4-bb29-bca4eafe055f|f35759cd-cf19-483c-bfac-cb714d04661c
11,NSW,"Tarcoola St, Pooncarie",-33.3861847,142.5699125,0,
12,NSW,"3 Broomfield St, Cobar NSW 2835, Australia",-31.498833,145.83757,0,
13,NSW,"WP6M+3F Wentworth NSW, Australia",-28.326987,153.389956,0,
14,NSW,"1 Matong St, Dareton NSW 2717, Australia",-34.094552,142.038976,0,
15,NSW,"2/28 Nixon St, Euston NSW 2737, Australia",-34.578987,142.7420194,1,f9c3d11b-3a82-4cad-a915-955e871d912c
16,NSW,"1 Lockhart Road, Tooleybuc NSW 2736",-34.99704,143.332317,0,
17,NSW,"Corner Cobb Hwy &, Shaw St, Moama, 2731, AUS",-36.0769703,144.7539919,0,
18,NSW,"7 Blair St, Moama NSW 2731, Australia",-36.113139,144.758419,7,52564d52-fc7c-4121-a569-3753702da111|d23a19f0-544d-4074-aaf9-409220fa16b0|a71d95f0-288a-4098-adf5-805770fd93c0|d1d38e64-c2be-4b83-b190-f19293c508a1|9f098254-acd1-4bd8-a079-bc5f8ed43e0c|03cbe992-f425-4d8e-aa3b-3b952c1ced1d|27238a27-fb9b-4979-a235-1921907ad999
19,NSW,"54-56 Meninya Street, Moama NSW 2731",-36.1111308,144.7549317,64,07a0903f-1d6c-4c66-8a9f-9dfea4c206bd|40f91519-e439-4bd2-a45d-a51472ca31ba|70ab2433-b8ec-4258-92bc-4bc73ee1fd11|c433f1d1-40b4-4545-beb9-7dd44699bbbc|7c75950c-5d89-2900-9ad1-a3b3bb481b74|9ef7ec52-5234-4dc8-a24d-74c904397187|00de6136-24f4-69f4-a0ba-a9004a1db01f|02b4cf9a-c7d5-4dcc-a1e7-df03e51985ec|91aaa371-0492-40e9-ad2d-bd7ef359a79f|0531a2a9-d12a-4b20-9c5d-8da057264ac5|fc4fa9a2-b4ca-207f-5339-95d7eebf215f|12992709-6f6c-619f-b7d4-0bbdc7fe086f|181e18a8-78b5-4fb3-a3bd-8389d3c879c7|8f6040e0-ac39-4bfb-ad90-5ea7a014e9d3|9f8c2b11-d1ee-4f9c-a41b-5fceae4b9795|16d4b75b-43bd-4086-ba18-289eddbba0ea|efa297ba-3f5e-4706-a166-61d8804309e7|d9bcb277-cc5d-4cd2-a1eb-4bbf0ebbc885|e540dbb0-4b5e-4846-91ad-2aa2e82ac8c5|81f5e4a9-d567-41f3-aa1e-1b7358573df4|98f4f47d-cad3-4c1c-b592-c7192c4ca6c1|82abcbdd-f978-49b9-bb47-fd8a31eabf59|4cf2c9ee-33be-431f-a98f-7ad899384190|b26a4f0f-9a6e-4bad-8995-d2fde61cc508|4fe4bd39-9c99-49cc-a2d7-5d9905342bbc|2737f700-28b1-431e-8083-985d09711def|a5cbc799-bb2a-4ba7-a9ec-8ccf0eccb442|82badacc-e978-49a9-aa47-ec8b31fbae59|f4964d83-9256-4f51-96b3-eb0e3e7f2d2c|53d4fbca-e469-4604-8913-def1e0d507e0|03cbe992-f425-4d8e-aa3b-3b952c1ced1d|f74bb22e-1656-40ce-8e5c-497e3160f714|0ac84277-f702-45a5-a5f4-5f4ed7b69c19|c187e33f-4196-4087-bab2-06df55a231a7|b5dad799-aa2b-4ab7-b9fd-8dde0fdda442|ed4eb9b2-a4db-207e-5339-95c7ffae215e|c9ada277-dd5c-4dc2-b1fa-4aae0faad885|feb297ab-3e5f-4706-b166-61c8804309f7|05cbd1d9-e57c-2047-c2f9-14f179c93e77|83269f9e-8fc8-493e-8d79-5389143e483a|5cfed485-07f0-4dd2-ad83-5331e295ac27|3952a415-3d72-4c04-8dac-3caf26c8afdb|71b10b9b-77d7-47a3-831b-cf773fe0a5b5|099e8441-f4a5-4eca-ab0a-99f149998484|12d72fc4-53f0-45d1-907d-853130041d62|719954f1-1991-4303-ac95-782ad99b2cee|be1fbc4c-490f-4406-b1e4-388957449092|91a18057-f019-43cc-afb8-2f490aa1c970|21563ae4-6a58-4110-8299-c3cf63362d95|40979a73-801b-4344-226e-49c5a8350f6a|7f6edc92-0d8f-4e83-bcc1-c9af588f6f50|025c7ce9-a23e-4bc5-8764-481ebfa489db|ede12890-7591-4a82-a141-39e3fe25f024|7e3cd171-991a-4316-91a4-e80491320a1e|d6e1b480-1117-4869-ab30-59487eb08078|fe248720-778d-40e8-a330-23e0ce5e9c93|e105ede9-ae9f-49bf-ac2b-9cbcf1e895c3|1c25b724-a07c-43ad-8286-111d4bca0278|d1133f6e-96f2-4fd5-adf6-468d35aa1751|f105fcf9-bf9e-49ae-bd2a-9dade1f895d3|91b18057-e019-43dd-bea8-2e490bb1d970|42ae022d-6ce6-4c1b-85dd-48b946516ff7|92c9a2d0-a8b2-4c7e-a493-91f88c45d993|2343da85-fba2-4e12-a944-2fcbe347048b
